content_type,language,genre,duration,release_date,rating,episode_count,season_count,content_id
series,marathi,sci-fi,2760000,22-07-2005,4,15,3,cont_526_6_10
series,english,comedy,4320000,15-09-2004,4,7,9,cont_1856_5_39
series,telugu,drama,3540000,11-05-2014,4,6,12,cont_1792_1_11
series,gujarati,drama,3780000,09-10-2006,6,6,4,cont_3716_7_5
series,hindi,documentary,3480000,01-01-2018,5,24,2,cont_2888_11_3
sports,hindi,football,4020000,07-01-2020,0,9,1,cont_588_1_33
sports,hindi,cricket,2700000,27-05-2000,0,3,1,cont_4446_22_2
series,hindi,action,5400000,04-02-2011,2,10,5,cont_4801
series,hindi,drama,3780000,15-04-2001,4,4,5,cont_2733_4_43
series,malayalam,sci-fi,3360000,17-11-1996,10,1,5,cont_1038_8_35
series,hindi,comedy,2700000,22-01-2007,4,12,17,cont_4084_3_21
series,telugu,comedy,2640000,18-08-2009,4,23,9,cont_4358_6_15
series,hindi,drama,3060000,16-04-2001,7,1,11,cont_4445_2_16
series,telugu,comedy,3240000,05-10-2009,4,27,9,cont_514_6_5
series,english,drama,5280000,25-06-2010,9,4,2,cont_3565_8_29
series,hindi,action,3300000,12-11-2005,4,24,2,cont_2956_2_26
series,english,drama,3000000,27-12-2000,9,16,2,cont_3114_1_25
series,hindi,comedy,2820000,06-01-2016,10,31,2,cont_4084_4_11
movies,telugu,family,4500000,08-09-2017,4,0,0,cont_1739_1_33
series,hindi,comedy,2880000,22-05-2015,10,20,6,cont_148_3_18
series,telugu,drama,3600000,08-12-2017,4,24,1,cont_1856_1_8
series,hindi,drama,3120000,17-07-2014,6,4,21,cont_4688_11_5
series,hindi,drama,2940000,17-03-2015,6,5,3,cont_4149_3_27
series,hindi,action,3240000,21-02-2009,9,21,11,cont_685_1_10
series,hindi,horror,4260000,22-11-2003,9,24,10,cont_4631_1_18
series,telugu,horror,2640000,07-11-2017,7,23,14,cont_3565_2_3
series,malayalam,comedy,2700000,25-03-2004,4,1,1,cont_4104_12_4
series,hindi,drama,2760000,24-09-2001,6,4,14,cont_4133_1_33
series,telugu,comedy,2880000,18-11-1992,1,2,2,cont_101_1_1
series,hindi,drama,3180000,25-12-2016,7,4,2,cont_3939_25_7
series,english,drama,3120000,22-06-2017,7,34,8,cont_3520_12_13
series,marathi,drama,5100000,13-06-2017,1,12,3,cont_569_8_18
series,marathi,action,3060000,12-07-1999,6,34,1,cont_890_15_14
series,english,drama,3000000,05-07-2015,10,2,32,cont_2970_2_16
series,hindi,drama,3420000,06-02-2019,6,15,11,cont_1870_2_15
series,hindi,drama,3240000,14-04-2006,6,16,10,cont_265_2_15
series,hindi,drama,3480000,10-01-2003,3,13,4,cont_43_3_11
series,punjabi,comedy,2820000,27-06-1994,8,7,1,cont_1072_26_9
series,hindi,comedy,2880000,13-01-2020,7,42,6,cont_4802_5_14
series,hindi,drama,2940000,27-04-2001,5,10,4,cont_874_11_8
series,telugu,drama,3360000,09-12-2019,10,7,6,cont_1485_3_28
series,malayalam,drama,4560000,03-01-2008,2,16,2,cont_615_5_23
series,hindi,drama,3060000,24-05-2004,9,27,8,cont_4472_7_23
series,english,drama,4260000,24-04-2018,7,29,1,cont_2154_5_1
series,hindi,action,3000000,22-08-2016,5,24,14,cont_2194_7_12
series,english,drama,4560000,21-12-2006,8,6,30,cont_1259_1_3
series,english,action,3300000,26-11-2017,1,11,7,cont_2358_3_36
series,english,drama,2940000,07-11-2014,2,22,19,cont_1856_6_7
series,english,action,3300000,01-08-2013,4,10,20,cont_4833_3_7
series,malayalam,comedy,4080000,02-06-2018,7,34,8,cont_3352_24_24
series,hindi,drama,2820000,27-03-1994,6,1,1,cont_3939_13_6
series,hindi,comedy,3600000,09-11-2020,4,30,11,cont_1130_7_25
series,malayalam,drama,2700000,29-12-2014,1,25,12,cont_2270_36_5
series,hindi,drama,2400000,28-08-2019,4,19,34,cont_673_11_21
series,marathi,drama,4920000,12-11-2000,9,20,1,cont_4246_5_46
series,telugu,comedy,2940000,23-07-2014,4,18,14,cont_3716_2_11
series,hindi,drama,3060000,10-12-2011,6,30,3,cont_498_31_4
series,malayalam,drama,3540000,29-04-2017,1,9,8,cont_4813_5_36
series,hindi,drama,3180000,09-04-2013,5,17,4,cont_2715_9_10
series,hindi,drama,3780000,22-03-1996,9,2,3,cont_3191_17_2
series,hindi,drama,2760000,24-11-2020,6,43,2,cont_4274_9_8
series,telugu,drama,3300000,09-11-2007,1,17,3,cont_3674_8_5
series,hindi,action,2880000,08-03-2011,6,29,10,cont_3939_6_3
series,gujarati,drama,3540000,10-02-1997,7,10,4,cont_268_3_11
series,hindi,drama,2940000,26-09-2012,6,12,10,cont_372_1_34
series,english,drama,2820000,19-08-2009,2,22,2,cont_3791_18_1
series,hindi,comedy,3600000,11-10-2002,8,11,2,cont_4103_2_4
series,hindi,drama,3840000,18-03-2007,1,27,5,cont_327_1_27
series,tamil,action,3000000,07-07-2018,2,29,13,cont_514_7_27
series,gujarati,comedy,2640000,06-11-2000,3,7,4,cont_4944_3_39
series,tamil,comedy,3180000,24-08-1994,8,13,1,cont_1315_6_5
series,kannada,action,4620000,23-10-1996,4,1,3,cont_1452_5_2
series,malayalam,comedy,4620000,15-07-2013,5,17,21,cont_4879_3_7
series,hindi,comedy,3120000,23-09-1998,2,16,1,cont_127_6_25
series,marathi,drama,3480000,04-09-1998,7,17,2,cont_3974_10_28
series,hindi,drama,3300000,14-05-2003,2,39,7,cont_750_8_22
series,hindi,drama,4440000,26-10-1997,9,10,7,cont_1137_3_37
series,telugu,action,3420000,03-08-1993,6,22,1,cont_1935_24_1
series,gujarati,documentary,3420000,10-08-2017,8,23,28,cont_4554_3_2
series,hindi,comedy,4080000,12-11-2007,2,1,6,cont_1711_2_13
series,kannada,action,2880000,16-03-2019,7,26,2,cont_4833_4_3
series,hindi,comedy,4680000,20-01-2010,4,7,11,cont_132_3_30
series,hindi,action,2580000,06-04-2004,4,24,2,cont_268_5_1
series,malayalam,drama,3120000,04-05-2004,1,2,5,cont_475_5_15
series,hindi,drama,2460000,11-11-2019,7,13,8,cont_3970_12_15
series,malayalam,documentary,3000000,04-11-2011,1,9,2,cont_1437_9_19
series,marathi,drama,4380000,28-06-2018,10,1,22,cont_1873_5_14
series,english,drama,3180000,24-07-2018,6,13,5,cont_475_15_34
series,english,action,3660000,11-05-2018,5,44,6,cont_149_4_29
series,hindi,action,5400000,08-09-2011,2,28,5,cont_2187_2_34
series,punjabi,comedy,3600000,22-06-2005,2,19,4,cont_2083_14_12
sports,english,cricket,7740000,10-09-1998,0,3,1,cont_169_2_11
series,english,drama,3540000,29-09-2012,1,26,2,cont_4445_2_16
series,malayalam,drama,2820000,22-01-2015,1,27,12,cont_649_4_22
series,hindi,action,3540000,23-05-2009,7,45,2,cont_206_2_35
series,gujarati,comedy,3180000,18-08-2019,2,16,7,cont_2946_7_1
series,kannada,drama,3000000,08-06-2010,9,16,3,cont_1399_23_4
series,hindi,drama,3840000,15-04-1995,9,2,15,cont_4050_1_10
series,hindi,drama,3540000,17-06-2016,10,4,19,cont_4226_1_6
series,english,drama,3120000,21-04-2013,3,18,2,cont_4601_3_20
series,hindi,comedy,2760000,09-06-2013,6,28,12,cont_2959_2_11
series,hindi,drama,3360000,25-12-2016,2,10,6,cont_149_1_30
series,malayalam,drama,5340000,19-10-2011,10,28,8,cont_1516_9_19
series,english,drama,2880000,11-03-2015,4,10,14,cont_310_17_27
series,english,comedy,3180000,20-02-2010,3,5,2,cont_3521_2_33
series,gujarati,sci-fi,2580000,19-08-2014,6,4,4,cont_2170_6_4
series,english,documentary,5220000,09-05-2006,10,19,2,cont_4950_1_10
series,hindi,drama,3780000,16-01-1998,7,31,1,cont_944_14_12
series,malayalam,comedy,4020000,11-06-2014,7,33,6,cont_1680_13_4
series,gujarati,comedy,4320000,25-12-2010,8,2,6,cont_328_4_14
series,hindi,drama,4680000,07-07-2014,6,6,1,cont_2482_3_30
series,hindi,action,2760000,29-09-2018,5,20,5,cont_1369_3_4
series,telugu,drama,2880000,17-04-2004,8,9,3,cont_4727_1_50
series,marathi,horror,2580000,17-01-2009,5,2,4,cont_2381_19_29
series,hindi,action,2640000,10-05-2009,4,59,4,cont_2381_2_4
sports,english,football,4800000,04-12-2015,0,7,1,cont_3081_11_29
series,english,drama,3060000,24-04-1997,8,4,4,cont_3296_10_25
series,hindi,drama,2940000,24-11-2006,6,13,4,cont_1355_4_9
series,hindi,drama,2820000,04-06-2000,6,34,4,cont_4962_1_15
series,hindi,drama,3300000,18-07-2001,10,14,3,cont_3114_2_39
series,telugu,comedy,4560000,16-09-2003,7,7,4,cont_3660_2_12
series,english,drama,4740000,22-08-2018,7,39,1,cont_3939_2_9
series,malayalam,drama,3180000,24-10-2013,5,6,35,cont_4213_13_17
series,hindi,drama,3060000,02-01-1996,3,21,6,cont_3497_5_16
series,hindi,comedy,2820000,09-11-2019,4,22,6,cont_1267_2_18
series,hindi,drama,3720000,21-06-2013,3,25,2,cont_4133_6_40
series,hindi,comedy,3660000,11-05-1995,5,11,3,cont_1477_15_16
series,malayalam,drama,3240000,15-05-2014,1,23,4,cont_3859_2_20
series,kannada,drama,3300000,20-01-2003,3,6,5,cont_149_5_42
series,malayalam,drama,4320000,29-05-2012,9,29,12,cont_1676_1_8
series,hindi,drama,2880000,18-09-2008,3,8,4,cont_960_27_6
series,tamil,drama,3060000,09-11-2006,8,18,13,cont_1718_13_19
series,gujarati,documentary,3000000,04-09-1994,8,21,4,cont_4026_3_2
series,telugu,drama,2940000,26-09-2009,10,18,7,cont_3597_12_4
series,hindi,drama,4500000,28-02-1994,6,4,2,cont_2798_5_18
series,marathi,comedy,3360000,23-02-2015,1,9,30,cont_4802_13_28
series,hindi,action,3360000,14-11-2017,5,21,21,cont_4472_4_31
series,tamil,drama,3240000,19-09-1991,7,24,1,cont_1143_4_2
series,hindi,drama,2880000,08-12-2010,1,22,2,cont_1337_5_4
series,tamil,drama,4080000,30-07-2016,1,14,8,cont_4833_3_7
series,marathi,action,2880000,27-06-2020,6,12,13,cont_3114_3_50
series,hindi,action,3600000,12-11-2015,6,35,11,cont_1283_7_29
series,gujarati,comedy,4320000,17-05-2012,6,6,4,cont_81_5_16
series,hindi,drama,4020000,10-06-2010,5,16,9,cont_4833_6_8
series,tamil,drama,3600000,15-11-2015,7,6,6,cont_310_17_6
series,hindi,drama,4440000,10-11-2017,1,2,5,cont_2825_12_3
series,hindi,drama,3240000,25-06-2009,4,24,2,cont_4082_9_52
series,english,comedy,3420000,11-01-2013,3,3,5,cont_4838_3_18
series,tamil,drama,3240000,05-03-1999,5,38,4,cont_1130_10_13
series,english,drama,2640000,09-09-2010,5,5,3,cont_3121_2_50
series,hindi,horror,3660000,28-03-2020,4,29,6,cont_3791_36_5
series,hindi,drama,2400000,05-06-2003,4,8,13,cont_3874_1_12
series,bengali,drama,3420000,04-12-2011,4,10,6,cont_1287_19_2
series,telugu,drama,3960000,19-10-2016,4,4,2,cont_3582_2_8
series,english,comedy,2580000,09-05-2008,7,6,12,cont_2629_2_19
series,hindi,comedy,4920000,24-11-2017,6,15,4,cont_478_1_7
series,hindi,drama,3240000,08-02-2006,1,6,8,cont_4079_1_1
series,english,drama,3480000,16-10-2012,3,7,2,cont_636_1_1
sports,english,cricket,4200000,29-08-1997,0,1,1,cont_4994_10_5
series,malayalam,comedy,4560000,26-07-2011,5,9,19,cont_2719_3_34
series,gujarati,documentary,3180000,14-03-2001,5,16,4,cont_2970_3_17
series,hindi,comedy,3660000,26-08-2000,1,21,1,cont_327_3_6
series,english,action,3780000,08-11-2002,10,16,8,cont_3497_16_8
series,english,drama,3360000,26-05-2013,7,15,5,cont_208_14_4
sports,hindi,cricket,4500000,22-08-2003,0,1,1,cont_4445_10_15
sports,hindi,football,2820000,13-11-2008,0,1,1,cont_3072_6_6
series,hindi,drama,2640000,15-12-2013,4,10,1,cont_4445_16_7
series,hindi,drama,2460000,11-05-2010,4,12,22,cont_3442_4_2
series,hindi,comedy,3240000,19-07-2011,1,31,2,cont_3121_1_21
series,hindi,drama,3240000,12-06-2010,9,17,9,cont_116_3_18
series,hindi,drama,4080000,12-09-2017,2,23,3,cont_693_7_7
series,telugu,drama,2880000,30-08-2011,5,8,2,cont_1937_4_40
series,hindi,comedy,3360000,04-04-2001,9,6,5,cont_405_3_2
series,hindi,comedy,3660000,18-06-2000,5,27,1,cont_2024_6_7
series,english,drama,3660000,19-10-2015,5,7,20,cont_3375_13_8
series,tamil,comedy,3000000,10-11-2002,8,11,10,cont_860_1_14
series,hindi,comedy,2580000,03-11-1998,1,16,2,cont_51_1_7
series,hindi,comedy,3000000,12-01-1999,8,1,1,cont_3923_8_3
series,hindi,drama,3300000,14-10-2016,6,7,3,cont_3414_2_1
series,english,drama,4620000,09-11-1998,8,9,5,cont_2854_4_33
sports,english,tennis,3000000,29-10-1994,0,8,1,cont_4873_2_10
series,hindi,drama,3480000,01-03-2016,10,24,18,cont_3352_10_2
series,english,drama,3540000,15-04-2014,10,11,10,cont_1971_1_2
series,hindi,action,3780000,06-11-1995,10,15,3,cont_3500_3_36
series,hindi,action,3900000,01-09-2000,3,34,5,cont_1158_20_2
series,english,horror,2940000,09-07-2001,2,30,1,cont_1506_1_9
series,hindi,drama,3540000,31-01-2003,1,5,1,cont_2853_3_23
series,gujarati,sci-fi,5700000,18-07-2007,6,5,9,cont_2052_7_3
series,english,comedy,3540000,05-08-2011,7,11,3,cont_1843_4_2
sports,english,cricket,9000000,09-02-1996,0,3,1,cont_838_1_4
series,hindi,comedy,2760000,31-01-1995,8,13,1,cont_758_1_36
series,malayalam,drama,2940000,28-03-2018,2,37,3,cont_3641_7_1
series,hindi,documentary,2820000,06-07-2016,7,30,8,cont_1286_1_22
series,gujarati,drama,3300000,20-11-1998,7,4,7,cont_4660_7_9
series,hindi,action,2700000,15-10-2006,7,9,1,cont_149_8_13
series,english,comedy,3360000,17-05-2007,3,22,11,cont_3383_14_1
series,english,drama,3300000,27-06-2015,3,17,5,cont_2436_7_22
sports,hindi,cricket,4020000,17-06-2014,0,4,1,cont_355_1_1
series,hindi,comedy,3420000,02-08-2019,5,9,11,cont_4591_6_8
series,hindi,drama,3240000,15-08-2003,2,5,9,cont_4724_2_7
series,hindi,drama,4560000,15-08-2010,7,25,9,cont_1077_6_10
series,hindi,drama,5520000,22-01-1993,7,1,1,cont_4944_2_29
series,hindi,comedy,2880000,10-02-2003,1,46,4,cont_328_19_9
movies,gujarati,mystery,9300000,14-05-2011,8,0,0,cont_2534_1_5
series,marathi,drama,4560000,07-09-2015,9,11,24,cont_475_13_26
series,english,drama,3180000,19-11-2019,4,4,4,cont_1896_7_18
series,hindi,action,2940000,09-02-2018,7,18,2,cont_1038_13_36
series,malayalam,documentary,3000000,09-03-2018,1,14,4,cont_3164_1_24
series,hindi,drama,3600000,01-07-2018,5,19,16,cont_1059_2_13
series,hindi,drama,2820000,04-03-2004,10,45,1,cont_815_19_24
series,hindi,drama,3000000,05-02-2006,1,26,4,cont_149_4_22
series,hindi,comedy,5640000,09-08-2020,8,1,27,cont_4846_2_13
series,malayalam,sci-fi,3240000,12-07-1991,10,2,3,cont_2946_13_33
series,malayalam,comedy,3060000,25-10-2005,7,17,13,cont_2708_5_44
series,hindi,drama,3180000,03-01-2013,2,18,5,cont_3372_1_3
series,bengali,drama,3360000,16-07-2008,4,15,2,cont_386_1_23
series,hindi,horror,3120000,21-09-1995,5,24,2,cont_4586_6_3
series,tamil,drama,3540000,12-12-2002,8,31,10,cont_2436_12_4
series,hindi,action,4740000,04-04-2008,4,26,7,cont_4838_9_20
series,english,drama,4980000,23-05-1994,10,2,7,cont_1179_2_35
sports,hindi,football,3540000,23-03-2011,0,19,1,cont_1267_2_18
series,malayalam,drama,5040000,30-10-2005,3,8,6,cont_3512_6_16
series,hindi,action,3900000,01-05-2003,3,29,7,cont_748_11_2
series,malayalam,horror,3900000,07-04-2011,1,2,24,cont_127_8_41
series,malayalam,drama,2580000,15-05-2018,7,40,7,cont_2196_2_14
series,bengali,drama,3960000,17-12-2000,9,7,1,cont_3716_2_11
series,hindi,action,4080000,14-02-1995,6,44,1,cont_758_1_42
series,english,drama,2880000,08-12-2014,8,20,3,cont_1927_2_14
series,english,action,3000000,22-07-2001,6,14,8,cont_2181_1_13
sports,hindi,cricket,2760000,01-03-2003,0,14,1,cont_4149_4_41
series,telugu,drama,3540000,12-11-1999,1,29,5,cont_2065_2_9
series,marathi,action,3540000,04-04-2004,9,29,2,cont_1449_3_1
series,hindi,drama,5400000,09-03-1996,5,10,1,cont_1942_2_24
series,hindi,horror,3300000,30-07-1998,7,7,2,cont_3645_1_6
series,hindi,drama,3360000,31-07-2009,1,15,7,cont_4490_9_18
series,marathi,horror,2940000,26-06-2006,5,2,1,cont_4835_1_17
series,hindi,comedy,3120000,07-05-1995,5,5,1,cont_2755_2_2
series,marathi,comedy,4260000,22-03-2012,5,12,4,cont_566_11_12
series,telugu,drama,2640000,24-04-2010,6,2,1,cont_2911_3_14
series,marathi,drama,2520000,09-02-2015,7,34,5,cont_2311_12_10
series,punjabi,drama,2580000,04-04-2003,4,7,3,cont_4944_1_30
series,english,drama,3960000,08-09-2009,5,30,8,cont_1077_9_11
series,english,drama,3060000,24-06-2011,4,2,9,cont_459_23_1
series,hindi,comedy,2880000,23-09-2018,5,21,1,cont_2647_10_15
series,malayalam,drama,3180000,20-05-2008,5,10,1,cont_673_9_11
series,hindi,action,3180000,09-02-2013,4,10,24,cont_2185_15_13
series,hindi,action,4260000,12-01-2010,4,32,8,cont_2782_2_18
series,marathi,comedy,3840000,20-10-2018,9,1,2,cont_1602_1_46
series,hindi,comedy,4260000,19-11-1995,5,27,3,cont_13_9_15
series,hindi,comedy,3780000,14-10-2011,4,2,10,cont_3856_1_13
series,telugu,action,3240000,07-05-2020,6,14,8,cont_1369_6_5
sports,english,cricket,5100000,09-03-2020,0,4,1,cont_4268_1_3
series,telugu,drama,3180000,11-01-2011,8,34,7,cont_4472_2_18
series,telugu,comedy,2820000,28-12-2007,8,6,2,cont_263_5_21
series,hindi,drama,3240000,12-10-2018,6,19,12,cont_1043_2_16
series,hindi,comedy,3960000,16-05-1994,5,16,2,cont_4170_10_9
series,marathi,drama,2760000,23-02-2002,10,3,5,cont_2173_6_7
series,tamil,drama,3720000,11-08-2010,4,19,6,cont_3454_27_3
series,hindi,drama,5520000,14-06-2000,7,46,4,cont_3565_7_18
series,hindi,drama,3420000,06-11-2013,5,2,4,cont_1046_8_31
series,hindi,drama,2880000,21-10-2004,2,3,2,cont_663_2_10
series,hindi,drama,4020000,02-05-1998,6,23,5,cont_4992_8_5
series,tamil,drama,5160000,24-04-2008,7,8,36,cont_2457_1_5
series,hindi,action,5040000,17-08-2006,2,15,2,cont_1259_2_44
series,english,drama,4920000,23-04-2000,3,3,10,cont_3598_6_12
series,hindi,drama,3660000,04-03-2004,7,24,7,cont_3114_7_29
series,hindi,drama,3240000,07-12-2020,4,21,2,cont_208_14_8
series,hindi,drama,2400000,31-08-2020,1,48,5,cont_135_13_11
series,english,comedy,3960000,02-05-2011,6,17,1,cont_2512_3_12
series,hindi,comedy,2940000,15-10-2020,6,14,30,cont_1843_1_10
series,hindi,horror,3420000,01-12-2014,9,4,1,cont_3160_8_48
series,hindi,drama,2520000,07-06-2003,7,8,6,cont_673_11_12
series,english,drama,2700000,25-05-2009,2,24,12,cont_3821_7_8
series,telugu,drama,3060000,31-03-1993,4,3,5,cont_1724_20_9
series,hindi,drama,3000000,21-10-1998,6,29,7,cont_1077_9_15
series,hindi,sci-fi,3000000,15-02-1993,3,34,1,cont_3472_5_2
series,english,comedy,3420000,14-05-2013,7,11,4,cont_81_4_23
series,malayalam,drama,2640000,09-08-2016,5,7,42,cont_1856_4_19
series,marathi,comedy,3240000,03-03-2008,5,25,1,cont_149_3_29
series,hindi,drama,2940000,01-10-2004,2,5,5,cont_4003_14_1
series,oriya,drama,2820000,05-03-2019,10,25,2,cont_2273_6_7
series,hindi,drama,3240000,04-06-2011,8,8,2,cont_4148_6_7
series,hindi,sci-fi,2760000,10-10-2013,4,4,3,cont_4954_1_3
series,telugu,comedy,3180000,06-03-2019,7,11,8,cont_4223_1_9
series,telugu,drama,4440000,29-07-2014,6,40,8,cont_182_1_1
sports,hindi,football,4500000,30-07-2012,0,2,1,cont_890_15_4
series,malayalam,drama,2640000,09-11-2014,5,9,10,cont_444_2_19
series,hindi,drama,3000000,26-04-2013,2,26,5,cont_4838_7_16
series,hindi,drama,2880000,20-02-2007,7,10,24,cont_3191_5_1
series,hindi,drama,3480000,18-04-2010,9,5,1,cont_3717_2_23
series,english,drama,3780000,11-08-2019,5,3,15,cont_2079_4_2
series,marathi,comedy,3180000,28-02-2010,1,13,5,cont_693_9_17
series,english,comedy,3240000,02-01-2012,8,18,3,cont_1815_4_26
sports,english,cricket,4020000,01-08-2003,0,1,1,cont_4180_5_2
series,telugu,action,2520000,26-07-2017,7,19,6,cont_2456_4_22
series,english,drama,3300000,04-05-2010,3,3,2,cont_4086_2_53
series,malayalam,comedy,3180000,22-04-1997,7,3,6,cont_4170_14_24
sports,english,cricket,6120000,07-04-2003,0,4,1,cont_1020_11_22
series,english,action,2940000,26-02-2013,3,24,19,cont_2019_1_4
series,hindi,documentary,3180000,06-08-2020,5,22,5,cont_4944_7_25
series,gujarati,drama,3540000,15-05-2002,7,10,12,cont_3990_12_53
series,hindi,documentary,3120000,27-12-1996,7,3,4,cont_1034_1_6
series,marathi,drama,3120000,20-07-2006,10,2,10,cont_1849_13_11
sports,hindi,badminton,3900000,16-09-2018,0,12,1,cont_2738_1_49
series,hindi,drama,3180000,13-05-1998,5,19,1,cont_1602_1_5
series,telugu,comedy,2760000,01-12-2008,9,15,5,cont_1288_1_3
series,english,drama,3300000,18-01-2001,5,20,3,cont_1972_5_9
